,ID,firstname,lastname,fullname,school,dob
68,18,Terry,Taylor,Terry Taylor,"Jones, Wright and Duncan",1974-02-17
69,18,Teri,Tayler,Teri Tayler,"Jones, Wright and Duncan",1974-02-17
70,18,Teri,Taylor,Teri Taylor,"Jones, Wright and Duncan",1974-02-17
71,18,Terry,Tayler,Terry Tayler,"Jones, Wright and Duncan",1974-02-17
72,19,Terry,Wilzon,Terry Wilzon,"Morales, Case and Thompson",1999-10-02
73,19,Teri,Wilsen,Teri Wilsen,"Morales, Case and Thompson",1999-10-02
74,19,Terri,Wilzon,Terri Wilzon,"Morales, Case and Thompson",1999-10-02
75,19,Teri,Wilzon,Teri Wilzon,"Morales, Case and Thompson",1999-10-02
76,20,Meagan,Davies,Meagan Davies,"Dean, Stevens and Navarro",1994-04-06
77,20,Meghan,Davis,Meghan Davis,"Dean, Stevens and Navarro",1994-04-06
78,20,Meghan,Davies,Meghan Davies,"Dean, Stevens and Navarro",1994-04-06
79,20,Meghan,Devis,Meghan Devis,"Dean, Stevens and Navarro",1994-04-06
80,21,Terry,Lewes,Terry Lewes,"Heath, Jones and Banks",1987-09-09
81,21,Teri,Louis,Teri Louis,"Heath, Jones and Banks",1987-09-09
82,21,Terri,Louis,Terri Louis,"Heath, Jones and Banks",1987-09-09
83,21,Teri,Lewis,Teri Lewis,"Heath, Jones and Banks",1987-09-09
84,22,Alan,Davies,Alan Davies,Wright-Montoya,1998-01-08
85,22,Alan,Davies,Alan Davies,Wright-Montoya,1998-01-08
86,22,Alen,Davies,Alen Davies,Wright-Montoya,1998-01-08
87,22,Alen,Davis,Alen Davis,Wright-Montoya,1998-01-08
88,23,Alen,Braun,Alen Braun,"Johnson, Lee and Anderson",1956-11-10
89,23,Allen,Braun,Allen Braun,"Johnson, Lee and Anderson",1956-11-10
90,23,Alen,Brown,Alen Brown,"Johnson, Lee and Anderson",1956-11-10
91,23,Allen,Brown,Allen Brown,"Johnson, Lee and Anderson",1956-11-10
92,24,Meagan,Tayler,Meagan Tayler,Herring-Sherman,2000-05-04
93,24,Megan,Taylor,Megan Taylor,Herring-Sherman,2000-05-04
94,24,Meagan,Tayler,Meagan Tayler,Herring-Sherman,2000-05-04
95,24,Meagan,Taylor,Meagan Taylor,Herring-Sherman,2000-05-04
96,25,Teri,Davis,Teri Davis,Conley-Foley,1991-09-03
97,25,Terry,Davies,Terry Davies,Conley-Foley,1991-09-03
98,25,Terry,Davis,Terry Davis,Conley-Foley,1991-09-03
99,25,Terry,Davies,Terry Davies,Conley-Foley,1991-09-03
